"Data","Titulo","Votos"
"('11 horas atrás', ""Erro ao usar 'rolling_sum' em pandas. Como aplicar 'rolling_sum' corretamente aos pandas?"", '-1')"
"('16 horas atrás', 'Como colocar image buttons sobre uma imagem usando tkinter?', '0')"
"('17 horas atrás', 'Como verificar a zona de tempo do Windows em tempo real, usando Python?', '1')"
"('21 horas atrás', 'Gerando executaveis menores com Pyinstaller sem uso Virtualenv', '-1')"
"('21 horas atrás', 'Como ter uma única barra de rolagem controlando quatro listbox em Pysimplegui', '-3')"
"('21 horas atrás', 'Mostrar imagem da internet na minha aplicação Django', '-1')"
"('ontem', 'Como modificar a seleção de Estados usando STATE_CHOICES no django', '0')"
"('ontem', ""AttributeError: 'str' object has no attribute 'num_points'"", '1')"
"('2 dias atrás', 'Creating a hex file from a binary file [fechada]', '-3')"
"('2 dias atrás', 'Como resolver esse problema simples de fatorial? Estou iniciando agora [fechada]', '-3')"
"('2 dias atrás', 'É possivel criar dicionarios usando laços de reptição?', '-2')"
"('2 dias atrás', 'Erro: list index out of range ao usar biblioteca scapy do python', '-1')"
"('2 dias atrás', 'How do I count the lines of a response to a request in python [fechada]', '-3')"
"('2 dias atrás', 'como eu aplico o algoritmo K-means usando dados de um certo segmento de ações da Bolsa de valores? [fechada]', '0')"
"('2 dias atrás', 'Usando regex para converter coordenadas de latitude e longitude de graus/minutos/direcao para decimal em python', '1')"
"('2 dias atrás', 'Quebrar uma lista e criar lista de listas [fechada]', '-1')"
"('2 dias atrás', 'como gerar nomes aleatorio sem repeticao em um unico print [fechada]', '-4')"
"('2 dias atrás', 'Selenium no modo Headless não encontra elementos da pagina (Python)', '0')"
"('2 dias atrás', '“29401 illegal hardware instruction (core dumped)” ao executar “rasa init”', '-1')"
"('2 dias atrás', 'Duplo clique no Phyton é o mesmo que colocar run da IDLE?', '-1')"
"('2 dias atrás', 'Python Como clickar em divs usando selenium', '1')"
"('2 dias atrás', ""'utf-8' codec can't decode byte 0xe1 in position em renderizar html"", '0')"
"('12/01 às 12:47', 'Não está a imprimir string', '-2')"
"('12/01 às 10:57', 'Forma mais rápida de iterar sobre linhas em python, pandas', '2')"
"('12/01 às 2:39', 'Colocar vários nomes em uma lista python', '-2')"
"('12/01 às 2:04', 'Heroku connection timeout - streamlit/opencv', '-1')"
"('12/01 às 2:01', 'estou estudando python, e Queria repetir esses código varias vezes mais esta dando erro, gostaria que me ensinasse por favor', '-3')"
"('11/01 às 23:51', 'Retornar o argumento máximo de uma matriz de caminhos aleatórios', '-1')"
"('11/01 às 17:01', 'Como criar um licenciamento para e-mails listados - Python [fechada]', '-3')"
"('11/01 às 16:40', 'Erro na extração de dados de pdf com PyPDF2', '-1')"
"('11/01 às 4:13', 'Automação selenium Webdriver com python', '0')"
"('11/01 às 0:20', 'Substituir múltiplas substrings de um dicionário', '0')"
"('10/01 às 22:08', 'Erro ao usar condicional If', '0')"
"('10/01 às 21:13', 'Criação de uma nova coluna usando o for', '1')"
"('10/01 às 6:04', 'Como visualizar/transmitir um video de uma página que força o download e não tem a extensão .mp4 no final [fechada]', '-1')"
"('10/01 às 2:56', 'Como obter retorno de função da (Janela com Toplevel) para (Janela principal) em tkinter?', '-1')"
"('10/01 às 0:36', 'Tarja azul debaixo dos modulo que eu crio quando eu importo eles para o arquivo principal [fechada]', '0')"
"('9/01 às 23:34', 'Em Python, como excluir os “\\n” dos arquivos .txt?', '0')"
"('9/01 às 23:17', 'Tipos como list e str são todos tipos primitivos?', '-1')"
"('9/01 às 18:15', 'Erro Python : <function bomba_mais_proxima at 0x00000248822879D0> [fechada]', '-3')"
"('9/01 às 15:39', ""Python erro: TypeError: 'numpy.float64' object is not iterable"", '0')"
"('9/01 às 9:37', 'Erro ao imprimir HTML com BeautifulSoup', '1')"
"('9/01 às 0:51', 'Dúvida em relação a manipulação do Excel através da biblioteca pandas no PyCharm', '0')"
"('9/01 às 0:28', 'Como fazer meu servidor feito em python funcionar em rede externa usando o ngrok?', '2')"
"('9/01 às 0:02', 'Sorteio de lider de classe', '-2')"
"('8/01 às 23:51', 'Meu VS Code não reconhece arquivos com o python [fechada]', '-1')"
"('8/01 às 19:28', 'Como pular a linha no input do python? [fechada]', '-3')"
"('8/01 às 19:26', 'Como fazer o “histórico” das jogadas de um jogo de tabuleiro em PYTHON? [fechada]', '0')"
"('8/01 às 18:51', 'Como contar caracteres múltiplos de uma string utilizando Python', '1')"
"('8/01 às 10:00', 'Como carregar arquivos .txt de um diretório incluindo na lista ou dataframe o nome deste arquivo em Python?', '2')"
